nms_iou,conf,precision,recall,f1
0.7,0.2853,0.9162,0.9786,0.9463
0.7,0.2903,0.9161,0.9783,0.9462
0.7,0.2953,0.9161,0.978,0.946
0.7,0.3003,0.9161,0.9777,0.9459
0.7,0.3053,0.9161,0.9773,0.9457
0.7,0.3103,0.916,0.977,0.9455
0.7,0.3153,0.916,0.9767,0.9454
0.7,0.3203,0.916,0.9764,0.9452
0.7,0.3253,0.916,0.9761,0.9451
0.7,0.3303,0.9159,0.9758,0.9449
0.7,0.3353,0.9159,0.9755,0.9448
0.7,0.3403,0.9159,0.9752,0.9446
0.7,0.3453,0.9159,0.9749,0.9444
0.7,0.3504,0.9158,0.9746,0.9443
0.7,0.3554,0.9158,0.9742,0.9441
0.7,0.3604,0.9158,0.9739,0.944
0.7,0.3654,0.9158,0.9736,0.9438
0.7,0.3704,0.9157,0.9733,0.9436
0.7,0.3754,0.9157,0.973,0.9435
0.7,0.3804,0.9157,0.9727,0.9433
0.7,0.3854,0.9157,0.9724,0.9432
0.7,0.3904,0.9156,0.9721,0.943
0.7,0.3954,0.9156,0.9718,0.9429
0.7,0.4004,0.9156,0.9715,0.9427
0.7,0.4054,0.9156,0.9711,0.9425
0.7,0.4104,0.9155,0.9708,0.9424
0.7,0.4154,0.9155,0.9705,0.9422
0.7,0.4204,0.9155,0.9702,0.9421
0.7,0.4254,0.9154,0.9696,0.9418
0.7,0.4304,0.9154,0.9689,0.9414
0.7,0.4354,0.9153,0.9683,0.9411
0.7,0.4404,0.9153,0.9676,0.9407
0.7,0.4454,0.9152,0.9669,0.9404
0.7,0.4505,0.9152,0.9662,0.94
0.7,0.4555,0.9151,0.9655,0.9397
0.7,0.4605,0.9151,0.9649,0.9393
0.7,0.4655,0.915,0.9642,0.9389
0.7,0.4705,0.915,0.9635,0.9386
0.7,0.4755,0.9149,0.9628,0.9382
0.7,0.4805,0.9148,0.9621,0.9379
0.7,0.4855,0.9148,0.9615,0.9375
0.7,0.4905,0.9147,0.9608,0.9372
0.7,0.4955,0.9147,0.9601,0.9368
0.7,0.5005,0.9146,0.9594,0.9365
0.7,0.5055,0.9146,0.9587,0.9361
0.7,0.5105,0.9145,0.9581,0.9358
0.7,0.5155,0.9145,0.9574,0.9354
0.7,0.5205,0.9144,0.9567,0.9351
0.7,0.5255,0.9143,0.956,0.9347
0.7,0.5305,0.9143,0.9553,0.9344
0.7,0.5355,0.914,0.9516,0.9324
0.7,0.5405,0.9136,0.9473,0.9302
0.7,0.5455,0.9133,0.943,0.9279
0.7,0.5506,0.913,0.9394,0.926
0.7,0.5556,0.9128,0.937,0.9247
0.7,0.5606,0.9125,0.9345,0.9234
0.7,0.5656,0.9123,0.9321,0.9221
0.7,0.5706,0.9121,0.9297,0.9208
0.7,0.5756,0.9119,0.9272,0.9195
0.7,0.5806,0.916,0.9254,0.9206
0.7,0.5856,0.9253,0.9239,0.9246
0.7,0.5906,0.925,0.9206,0.9228
0.7,0.5956,0.9248,0.9174,0.9211
0.7,0.6006,0.9245,0.9142,0.9193
0.7,0.6056,0.9243,0.9109,0.9176
0.7,0.6106,0.9238,0.9049,0.9143
0.7,0.6156,0.9233,0.8985,0.9107
0.7,0.6206,0.9229,0.8939,0.9082
0.7,0.6256,0.9227,0.8909,0.9065
0.7,0.6306,0.9225,0.8879,0.9049
0.7,0.6356,0.9222,0.885,0.9032
0.7,0.6406,0.922,0.882,0.9015
0.7,0.6456,0.9214,0.8747,0.8974
0.7,0.6507,0.9205,0.864,0.8914
0.7,0.6557,0.9197,0.8551,0.8862
0.7,0.6607,0.9191,0.8479,0.8821
0.7,0.6657,0.9186,0.8424,0.8788
0.7,0.6707,0.9181,0.8368,0.8756
0.7,0.6757,0.9321,0.8194,0.8721
0.7,0.6807,0.9311,0.8067,0.8645
0.7,0.6857,0.9401,0.806,0.8679
0.7,0.6907,0.9473,0.8041,0.8698
0.7,0.6957,0.9468,0.7965,0.8651
0.7,0.7007,0.9457,0.7761,0.8526
0.7,0.7057,0.9487,0.7761,0.8538
0.7,0.7107,0.9517,0.7761,0.855
0.7,0.7157,0.9546,0.7761,0.8562
0.7,0.7207,0.9576,0.7761,0.8574
0.7,0.7257,0.9606,0.7761,0.8586
0.7,0.7307,0.9629,0.7739,0.8581
0.7,0.7357,0.9623,0.7628,0.8511
0.7,0.7407,0.9619,0.7529,0.8446
0.7,0.7457,0.9607,0.7298,0.8295
0.7,0.7508,0.9788,0.6908,0.81
0.7,0.7558,1.0,0.6539,0.7908
0.7,0.7608,1.0,0.6311,0.7739
0.7,0.7658,1.0,0.597,0.7477
0.7,0.7708,1.0,0.591,0.7429
0.7,0.7758,1.0,0.585,0.7382
0.7,0.7808,1.0,0.5701,0.7262
0.7,0.7858,1.0,0.5558,0.7145
0.7,0.7908,1.0,0.5383,0.6999
0.7,0.7958,1.0,0.4767,0.6456
0.7,0.8008,1.0,0.4119,0.5834
0.7,0.8058,1.0,0.3647,0.5345
0.7,0.8108,1.0,0.3138,0.4777
0.7,0.8158,1.0,0.2338,0.3791
0.7,0.8208,1.0,0.2032,0.3378
0.7,0.8258,1.0,0.1945,0.3257
0.7,0.8308,1.0,0.1627,0.2799
0.7,0.8358,1.0,0.1575,0.2722
0.7,0.8408,1.0,0.1524,0.2644
0.7,0.8458,1.0,0.1192,0.2131
0.7,0.8509,1.0,0.112,0.2014
0.7,0.8559,1.0,0.1047,0.1895
0.7,0.8609,1.0,0.0753,0.14
0.7,0.8659,1.0,0.0292,0.0568
0.7,0.8709,1.0,0.021,0.0412
0.7,0.8759,1.0,0.0,0.0
0.7,0.8809,1.0,0.0,0.0
0.7,0.8859,1.0,0.0,0.0
0.7,0.8909,1.0,0.0,0.0
0.7,0.8959,1.0,0.0,0.0
0.7,0.9009,1.0,0.0,0.0
0.7,0.9059,1.0,0.0,0.0
0.7,0.9109,1.0,0.0,0.0
0.7,0.9159,1.0,0.0,0.0
0.7,0.9209,1.0,0.0,0.0
0.7,0.9259,1.0,0.0,0.0
0.7,0.9309,1.0,0.0,0.0
0.7,0.9359,1.0,0.0,0.0
0.7,0.9409,1.0,0.0,0.0
0.7,0.9459,1.0,0.0,0.0
0.7,0.951,1.0,0.0,0.0
0.7,0.956,1.0,0.0,0.0
0.7,0.961,1.0,0.0,0.0
0.7,0.966,1.0,0.0,0.0
0.7,0.971,1.0,0.0,0.0
0.7,0.976,1.0,0.0,0.0
0.7,0.981,1.0,0.0,0.0
0.7,0.986,1.0,0.0,0.0
0.7,0.991,1.0,0.0,0.0
